colle,question_id,question,theme,create_date,zipcode
u-jz8wtzpJ6X-hju4imDUl7,q-2Vq7Kc6vpp-nam3FHuruX,"Why can't we have pedestrian crossing signals synchronized with street lights? At most Boston intersections, pedestrians often have to wait even though the traffic light is red for the vehicles on the road the pedestrians are waiting to cross. Why not do like New York, and make it so when pedestrians get to a corner, they can always cross a street in one direction if not the other?",Governance and Decision-Making,1/20/15 10:21,02215
u-5CjuXuJ33H-eeJ27RBgb5,q-xUbXFRqCVA-QSSaGhUdZn,How does the city plan to break down the color lines and socioeconomic divides that are a continued issue locally - through the use of transportation? ,Equity,2/5/15 2:12,02215
u-PEVX6LE6fN-OJC9FqCTsc,q-IbowlsuEN1-ybFObBpS3J,When do you think the Longwood Medical Area will be connected to the Charles River Bike paths via a barrier separated cycle track or lane?,Access,1/28/15 21:28,02215
u-oXlAqfRpCy-Y7R7CnIbYY,q-IKkB9RBVhG-7S2qbHR2US,Will we have boats to get around the flooded Back Bay and Fenway areas?,Resiliency,1/22/15 15:33,02215
u-xANkcwaAhm-3C0rLxQYyD,q-FsUd5rhDcc-v60Ru6sAGf,What are the plans to reduce screeching noise on the T?,Experiential Quality,2/5/15 16:14,02215
u-cODgCOzWpL-AVVqD194NV,q-Kq3b032lOW-SNesMmu2j1,Will the MBTA extend the train stations in certain neighborhoods like in Canton or Milton?,Access,1/7/15 10:50,02215
u-cz4MzRwWEx-KIQz0v4faU,q-0XrLer67Dw-3Vc3xTg7DI,Why can't we connect the spokes with transit - like the Urban Ring concept?  I have to go into the city and back out again to get to Cambridge!,Access,2/4/15 10:04,02215
u-hAlFbnpKu7-Lto809YkqR,q-SL8TJ6Go1V-yQrkNCde1d,What if there were more high capacity cars during the rush hours of the day?,Reliability,2/20/15 13:35,02215
u-g2w7BeqD3n-35pJ3GMoG2,q-JarF2iyOSs-cKymB1aXVu,Will Government Center Station be open again anytime soon?,Access,2/7/15 14:15,02215
u-Goxlabq2OB-tafdyWVU5G,q-CnYgieWFT2-wYQi4NG3Cn,Can we please have a plan to put a tunnel under the Longwood Medical Area?,Access,3/9/15 12:55,02215
u-RZDWOiGvgx-m7LvqKpbJR,q-15TeCwEx8q-pRSFYYRaXR,Why is the Green Line so small?,Reliability,3/9/15 12:05,02215
u-AtRvjO6yH3-AFAVw1mKLO,q-sqTIedgoq5-kILNLddP0k,Will the buses expand?,Access,4/15/15 10:53,02215
u-Pasxza5PRD-qenvfTasWQ,q-TTSenxayNC-agPDJrPS6L,Will cars be flying?,Innovation-Technology,3/9/15 12:18,02115
u-EDZgY6c89W-3KZoeY7tCE,q-Dt9KtHcIwu-MMdC1TKbaF,Will there be better service for people with children on the buses?,Experiential Quality,3/9/15 12:18,02115
u-FRnlefXfTw-eZi8h72pks,q-aBmFCaGhAx-bVJjpIJjIq,When will the MBTA build a light rail to replace the #28 bus like they promised?,Access,1/30/15 12:06,02115
u-Ag9AYng0bx-tcZQll3HuE,q-4adfE1Ql1l-Xxt4sUultD,What if our transportation was free?,Affordability,3/9/15 12:56,02115
u-ue49owUUae-m6jvfy2pzO,q-5nTRRC5xig-4AZFYwLo2b,"The LED signs in many of the T stations which show when the next train is coming are very helpful. Will these be installed in ALL the stations?I don't use a smartphone APP.""",Innovation-Technology,2/11/15 17:26,02115
u-pO49PE5vs4-jUlILR8Csa,q-yYhWpGyFL0-oULLXgoujf,Will the MBTA system be updated and refitted to deal with similar weather as this year?,Resiliency,2/20/15 21:38,02115
u-yKxQt4zViB-cJFsSGnmT3,q-oDMeOVpGuY-TmQKkt0l8g,Will we offer cultural competency training for the MBTA workers?,Safety,2/18/15 16:09,02115
u-7VqlJ4c3cL-D6HCWyHnin,q-LJCmj5M049-3L5eogfSAn,Will there be walkways instead of sidewalks?,Innovation-Technology,3/9/15 12:18,02115
u-P6Vlyb6W9P-vNQD9hFg0d,q-VafHLXHEP8-fCu94VCzYD,How are funds going to be used to fix or improve the T-system in Boston in the near future?,Experiential Quality,2/20/15 21:41,02115
u-KQtbKMN1vR-RBRg2g1Eyo,q-SFpOG2ei0e-CVCo12E8ML,Are there special train passes that college students can get to ride around for free?,Affordability,2/20/15 20:57,02115
u-6LjZ4IqlHA-qia08B3R8L,q-LCPyBuxQEg-V07OsTlN7x,"how can we ghet the commuter rail system  sotps in  Bostn better ntegrated with subway adn bus servbice?  WWhy cant' Charlie cards be used on commuter rail, especially in Zone 1A stations",Access,2/8/15 17:13,02115
u-sQh6512rjR-JUG4mzdkzH,q-OjJPf93xVq-VBYqLrHLck,Can the Green Line be more reliable?,Reliability,2/20/15 21:01,02115
u-kNeuSr31FO-UGl7sBo7al,q-JhnjTEsxYV-IbYDHUzm2u,What if I didn't have to pay for the bus upfront. i.e. (online account or credit)?,Innovation-Technology,1/30/15 12:06,02115
u-tDr5DC4qYk-zMrZBDgMoe,q-yGF2H4fxY0-5Y8KfO5KsB,"Given the city's competing priorities, will the city be able to fund infrastructure improvements in the LMA?",Governance and Decision-Making,3/9/15 12:55,02115
u-dVUjfLCRp9-CdTBlGDV0n,q-UN2M9lWCz7-GeaZEL9Mfx,WHat if there was always a second bus whenever the first one got full?,Reliability,1/30/15 12:06,02115
u-QZUieiV4PI-98FqBJzbQ7,q-2d2vTWAIC4-agqSGINLwC,How can we make the T fun to ride?,Experiential Quality,3/9/15 12:18,02115
u-w1Ez0Clr7a-HhJ46pJF5W,q-YiuNqettWx-NxK5SyfYo8,Will we put in heated roads and sidewalks to help with snow removal? ,Innovation-Technology,2/14/15 19:04,02115
u-6LjZ4IqlHA-qia08B3R8L,q-3vKGEuSBuV-v9mBKB4EoM,Circumferential route should be a priority in the Transportation plan,Access,2/8/15 23:06,02115
u-z5fomlQXrj-YHFOIsZwEB,q-sjfNC3XkRY-9n9Om1DNsh,Is there going to be better transportation for people with disabilities?,Access,3/9/15 12:18,02115
u-VU8tH4sls3-zt7vtLxRmU,q-Ndfp4LOuV6-IPX5IvesPI,Will we be able to get around without seeing advertising on every public fixture and piece of street furniture? Can we pay for our infrastructure without corporate money/advertising?,Affordability,1/30/15 12:06,02115
u-fjUnMe5py0-m38NlVFHac,q-vwtmthwA96-2RTFWpOJiY,"Will transportation be safe for customers, more secure and help customers feel safe? Use MBTA police to patrol and provide faster service.",Safety,3/9/15 12:06,02115
u-UdxWwiwab3-jci1suqQWf,q-aceoVQIwFr-ijl3J8YHoC,"Can we connect the outer ""rings"" to the T so we don't have to go into Park St.?",Access,1/7/15 10:50,02115
u-PSzKbESvwS-o11FImyYMx,q-2Q6fBnksV3-emYAhNjz8U,"In 2030, what are they going to do for bicycles?",Miscellaneous,3/9/15 12:18,02115
u-qHBO8Iib7M-LisQIw2xLr,q-Pm4N8PRcAv-sNSOMRMFzc,More green line trains.,Reliability,3/9/15 12:16,02115
u-CS7wVkIiH0-fMaU8zjzk6,q-ykygwPTb2t-fkwMhxbHtF,"Why, if we know bicycling is healthier and lowers pollution, have the prospect of the Olympics, and have potential Climate Change-flooding with streets blocked by cars, aren't we funding cycle tracks each year?",Health,2/3/15 14:20,02115
u-6LjZ4IqlHA-qia08B3R8L,q-6Nl20yZM4T-dCqZsWk8Ea,Is there a liaison to the MBTA in  the Mayor's Office?  In Boston Dept. of Transportation?  What  is/are  (s)he/they?,Governance and Decision-Making,2/16/15 14:30,02115
u-ODLMIdn4Sv-xH9vnsDd0S,q-VeDmc8spUJ-DJkbfRAXba,How is the road going to feed the grid?,Innovation-Technology,3/9/15 12:18,02115
u-ojTRlZxgNa-TTmWjDJJtE,q-4QuFh8oD0g-DIYcpTpuzf,Can we get an app for when trains are late/times aren't accurate?,Innovation-Technology,4/17/15 17:02,02115
u-4EPWx6GNcD-K25IbFaq17,q-qcOhvoxVZq-xzNsv1RorW,Is the train going to get cheaper?,Affordability,3/9/15 12:55,02115
u-grdSWx3Vsf-oISq3SsFpl,q-QOTWnNSbUl-bSX5imy9rQ,Are there any plans to improve the crosswalk system in the future?,Experiential Quality,2/20/15 10:21,02115
u-6LjZ4IqlHA-qia08B3R8L,q-YHwfC5WohJ-LTsQy8CnK2,Is there a liaison IN THE MAYOR'S OFFCE with the MBTA,Governance and Decision-Making,2/8/15 17:15,02115
u-qNwMHdA4Nc-7BZmD83PuT,q-s8MvD3nWz4-XKiojHT8iW,When will the function/dependability of the green line be improved?,Reliability,2/20/15 21:52,02115
u-oea4opN3GX-xUVpea9atN,q-St5fdqVf34-6sMk053q32,"Why are some bus stops placed so close together (e.g. Park and Beacon, followed by Mountfort in just 2 short blocks)""",Access,2/12/15 11:00,02115
u-qZH5U69tYs-ngz45vXVCJ,q-WZk5lujlvP-TV0bWL3aLi,Will it be more accessible to know when your form of transportation will be arriving?,Innovation-Technology,2/20/15 21:03,02115
u-qPKcHBZ28g-UsHFibKHcM,q-rh0Zx7DdP5-l1mRo6B9OY,"Put more pressure on the Governor's office and MassDOT to seriously commit to improving transit, cycling, and pedestrian infrastructure. Projects like the Allston Interchange Realignment and the Commonwealth Avenue Improvement Project are consistently designed with automobile usage as the first and only priority, while the needs of the surrounding communities and non-auto users are ignored. Red-Blue Connector is the most important transportation project in the state, yet the Commonwealth is utterly disinterested in completing it and many other beneficial transit projects. What are you going to do about the absolute lack of support from the Commonwealth in regards to viable transportation improvements?",Access,1/29/15 20:43,02115
u-VzwsFTflcO-orjOqE9ka7,q-YinaWib6S7-slmzdf9h8j,"In the future, will there be moving escalators on the streets?",Innovation-Technology,3/9/15 12:18,02115
u-XP1fjVhXy2-ikSWoHvCW6,q-c6On46yE2w-PZCc70nvWS,When will the young people get a youth pass? They need it for work?,Affordability,1/30/15 12:06,02115
u-3bzfnSmq07-C5O6pv9BJP,q-mNtr6QRbhS-llrt1QWYxf,How can we make the T more sustainable without increasing costs too much?,Affordability,2/20/15 22:01,02115
u-085dfb7y3v-N3zxHK27H3,q-clyqhsoJp2-a3kkHme8Vf,Can cars be controlled by voice?,Innovation-Technology,3/9/15 12:18,02115
u-0rjkEKKuDt-PtSYCvF5JI,q-wE6Y6x6A3w-PZ1jz4Xv7v,What if you weren't afraid for your life when riding a bike on any road?,Safety,1/20/15 12:58,02115
u-TJ20dEo4n8-p2iQ90ui3b,q-zjmDrV2ZmZ-EkGzW3XgaG,Are there going to be different platforms for gas or shopping for food?,Miscellaneous,3/9/15 12:18,02115
u-Mt7ucm2hcJ-4OOwaqFauz,q-FTH5tX1HbC-guTAkEUHsF,Can we create pedestrian tunnels and bridges to connect gaps between Boston greenspaces to create amazing pathways that allow people to never have to cross traffic to walk from one end of Boston to the other?,Access,1/29/15 22:49,02115
u-QFkHWez7eg-5GXYKgDP1S,q-4Adeb49tqB-Yl0rDLnZ2G,When will the 90 bus actually run on time and more frequently?,Reliability,1/30/15 12:06,02115
u-ZLpXAYudRX-7Rf4hA9R7j,q-pqgyQXS55J-0ABpXdNCbs,Will you offer parking for non-MA residents in the major neighborhoods of Boston?,Access,3/9/15 12:04,02115
u-ACWNLQkJDe-zlgDKBZdR1,q-J6s5yRABUj-Lho4RPI2DS,Will there be a college student rate for the T?,Affordability,2/20/15 21:02,02115
u-meFDRsMspE-QPAKgrydJV,q-jZCpjReTlp-TxLxn5ix0X,What are we going to do about the fact that some T stations are reaching capacity?  How are we going to keep growing?,Experiential Quality,1/29/15 14:24,02115
u-lSwxjHyyNs-Xp7jVZFkC8,q-LWM8jtL3IQ-1RQZ0iHZAB,When are they going to improve the green line?,Reliability,2/5/15 16:16,02115
u-xg251cCJRE-Y7puMZSXH8,q-wulWo9StuK-PJn068MPuO,Can Boston move with no privately owned automobiles on the streets?,Access,1/20/15 19:40,02115
u-LFvprzlaZP-jWcpDxP7Xq,q-MPmZmML7kB-3XeFx17R6u,How much longer will the T as we know it exist?,Governance and Decision-Making,3/9/15 12:05,02115
u-IW4rtpl4E6-AJHP12CJVm,q-SavwURv2FB-kbo4jRx9xr,Are there going to be bus platforms in the sky?,Innovation-Technology,3/9/15 12:18,02115
u-FqjaJF3T1e-jbXgNipNTp,q-vkuaPnqVru-8yXnxiFocs,Are MBTA prices going to keep rising?,Affordability,3/9/15 12:18,02115
u-CMloMsezG2-HBj60oqYoU,q-cMQqYunZPv-Qp4uM0ik8P,When are we going to have raised or safer crosswalks?   For example Comm Ave and Beacon Street are often like speedways with traffic traveling at excessive speed especially late at night. Raised crosswalks and intersection would slow down traffic and make intersections safer for pedestrians. ,Safety,1/30/15 19:10,02115
u-E7VKCgPPdL-gejl1K3JJ4,q-mKLp0GdXBk-Krh7gTWmHy,What's the plan to make bikers more responsible in observing the law?,Safety,1/30/15 20:46,02115
u-L7gwmUt60G-NvjwrDIYud,q-u6q7HwvdWX-JD0hStur1t,Are there going to be stop signs in the sky for flying cars?,Innovation-Technology,3/9/15 12:18,02115
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
