user_id,question_id,question,theme
u-eNd1qYUBxO-MUcTgoRQW5,q-7bXkYlU6GO-puDNNLEGr8,Will the city advocate to the MBTA to keep senior passes affordable for seniors on fixed income?,Affordability
u-KBVksnN5OK-nfRpCz6fHS,q-x7hmi9MLEo-d2LveWIeXq,"When will we have rapid transit through Mattapan, Dorchester and Roxbury?",Access
u-40ElHMjQAG-x97l6jJQAN,q-AgOABiko7K-MKO2vmgXRW,How can the commuter rail be more reliable during cold and bad weather?,Reliability
u-gUe1LhnS7S-HhRr7GHoh3,q-Y83nxyEenH-bWQQ7QjtxA,Will the red line Downtown Crossing stop ever get renovated?,Experiential Quality
u-Uyd3IgJJ8L-WgPprrgGJ4,q-f1S5hkS2ge-rj1v4erojj,Information on how I can get to the closest needle exchange? and transportation should be free?,Affordability
u-A0WLhUWjd9-WpHtf3UDgR,q-3Bhym1pnQe-cO1BElOr15,"I get why the city focus so much on the roads of Boston in snowstorms, but pedestrians get lost in that shuffle. How can we call ourselves a walking city when the city commits few to no resources for sidewalk clearance and pedestrian snow safety?",Experiential Quality
u-yJAnniWWn0-GOAKhOOW0F,q-1plD8iOlng-Ah3YY8AcTB,Will public transportation fees keep going up or start going down?,Affordability
u-u8sQ9jcbYd-xKRYf10QhP,q-Now4MijbnO-q4t4cvcpof,Can we get road bikers under control?,Safety
u-br1PLMgk78-PNhPtJ0G2m,q-TslQ7e3IEI-HxItrNBWkF,Will the prices go up for the MBTA?,Affordability
u-LflHaniDlG-d9hMVG1bwZ,q-e5Cb63Yitt-w5rOInxnde,Will the buses have wifi?,Experiential Quality
u-pwzRw3DYRC-AKNCpEJPvY,q-N6E7FIpZIO-mvrcTJ17YS,"1. Increase the frequency of trains/buses/Commuter Rails2. Can we improve winter season services?",Governance and Decision-Making
u-Qjt7ir1A9t-OsFPupifhj,q-N8B7kd9Iey-M7UEV9FkOU,"Can we convert more streets with heavy pedestrian traffic into ""open streets"", similar to the downtown crossing area?",Health
u-F1waqtHXJu-Uqv8wMKdEI,q-HuXmeLDe3R-3MORk8kwta,Can we build a suction tube from Braintree to Boston with seats in a capsule to speed up transportation and save fuel?,Access
u-eYyTy9YO4x-CwzzBGRJil,q-5kZi9deUZB-zHLxTVdiku,When can we make people a priority over cars?,Equity
u-0rjkEKKuDt-PtSYCvF5JI,q-wE6Y6x6A3w-PZ1jz4Xv7v,What if you weren't afraid for your life when riding a bike on any road?,Safety
u-SqAKD76Wg5-dsTaVnGb7c,q-b9aWofel91-RwzUs8IQKZ,Why are there never any attendants around to assist you?,Experiential Quality
u-v4tW62ptrk-aSGUjcUSsH,q-MadQ954r4b-Nx20fVlT3o,"When are they going to invest more money on mass transit, especially on the bus system and green line?",Governance and Decision-Making
u-zdVzwLe7RI-S2gX1wOJbQ,q-uqLbsP9Kbw-QUz7lRNtld,Will there be better cross city public transit?,Access
u-dVvPYqOzVN-RqV1s4qLJ3,q-M0YQ534bGd-L9vEtvjFYh,Why don't we extend the orange line into somerville instead of the Green Line? The tracks are really close and the orange line trains can fit more people.,Access
u-xGg3COyL3G-bdebx7gxf9,q-IEGXHPJkVW-LgVhNJKU6n,Can we make transportation more public/easily accessible to all?,Access
u-p8GY9DKrz0-wjjMsX6mWM,q-wk6oz3tHWC-hg8cj6oz0L,"Could the Olympics bring world-class, modern public transit to Boston?",Resiliency
u-aLjJRKu5jj-GwhA45v0Iq,q-atGayHraHP-kp79SuKNoI,Would a high-speed monorail from South Station (via Greenway and Congress Street) to North Station be economically / practically viable for NS rail link?,Access
u-wlY99O5pAl-QiKYLL0cU0,q-FFj7Sl8hlU-yz8LyZIxdi,Will there be another more economical fuel? What will it be?,Sustainability-Climate
u-tlNxrjZeBy-EYeKpAU1kS,q-xU8zIBeJgN-zPJfXfEsAy,Why couldn't satellite parking be built outside of Boston and VASTLY IMPROVED public transportation be built to connect the satellite centers with downtown Boston and Back Bay?,Access
u-NxbidR5sjB-o4O8yIyqi5,q-rd6cpijstI-IMiWIxNG8b,"How can we learn from cities like London, (est. 1066 C.E.) and retrofit our old city with the best, most comprehensive metro train system possible? ",Experiential Quality
u-uVxgGMvlOv-p6qJTgcOCn,q-5bgDpPUdSK-uhAxyHAahQ,Will the MBTA be providing lower fares for people from communities of color?,Affordability
u-CuXUBp0F71-3Rw7U0x3EP,q-ioYcSWW9jW-nMsaCqN6iH,Could they make it easier for high school kids?,Affordability
u-TZU28Z8cz9-TDvk1QU4Pm,q-teqWMizG6f-U7IEhuDyx7,Can we use the Green Line Extension money for a better purpose (ie maintenance)?,Reliability
u-ooSGTVNOko-7itauS6qk4,q-NRFiWoV60r-ExSWQZvxdq,Will I be able to get around as a senior with mobility issues?,Access
u-F1DaeymfP7-vLxzWsnZro,q-Z3MMCl1K1i-0Ah9laiDny,When will seniors and people with disabilities be treated equally on the MBTA trains and buses?,Access
u-xI0C7s2N7o-DFgSwu363M,q-BqE4CBpLvM-9FVeewaa39,"What would it take to have a comprehensive, affordable and user-friendly transit system?",Affordability
u-Ao1PBH58js-VJB7yapcrk,q-OS9uBjSO42-IZ0v8fRN9i,How will I ride my bike from East Boston to Boston/Cambridge (without taking it on the T)?,Access
u-IRQFlMNxeu-KT3j1PAlNk,q-jnCtsWd9r9-afOZ7yIdqC,Can you change the pick up/drop off way of doing things?,Innovation-Technology
u-aEv8f2GpI2-t2Zv9cSEmA,q-KFEK0yW9HN-EhuVmsC1yo,What will we do about the rising sea level?,Sustainability-Climate
u-92az2czqff-1sZXdtJU15,q-CATW1AqrRb-e93n1Ok2Jw,When will bikes be just as important - or maybe even more important - than cars?,Equity
u-VAJ9Q5J6cL-Q1lafqwogO,q-y27jBh1yRj-hoA8roVp4m,Can we please build a public transit system that works well?  One where we plan for pedestrians and bicyclists first?,Access
u-0EDuG6a2Sz-0iq8kEWzwb,q-hUM88dBYdx-CryOw6kud3,Can we levy a tax on those who insist on DRIVING into the city and use that revenue to subsidize cheaper Subway and Bus fares for the needy?,Equity
u-Euhg4DCGVK-sKlJ4FLVJo,q-xi4wdtMD9Y-sHBFiY9alN,Can we get brand new trains? Can we replace the tracks to have new functional tracks? Can we have plans in place for snow clearing? Can there be advanced technology like heated tracks to manage snow fall? Can all trains and buses run on time according to the published schedule? Can all of this happen ASAP not 15 years?,Reliability
u-yPDvlBRHFl-hhLMUDLkOc,q-pLrNYLsN5R-cOxP8A4hDM,Will the Orange Line be renovated (soon)?,Experiential Quality
u-xGg3COyL3G-bdebx7gxf9,q-QTR5pwltVN-NAh5PG2cay,Can we get better service from the drivers and faster bus scheduling?,Safety
u-HKKGBziQSX-hdvlmTJ6c6,q-L77X8apZfo-GDP2LVZq7q,Can train and bus times be extended to be 24 hours?,Reliability
u-GL0Im93D2g-NorQDzbWDY,q-6jrVfjMaBv-dLBswf4Pfq,Why are services limited during the winter?,Reliability
u-5J51BO8fIf-VL3lef8s7c,q-5cdPJnuTOB-goyOfEJM87,Why don't they have the long bus running on Dudley street?,Access
u-gPDxm6ceZt-PMc7Rgj4Uk,q-jVHTBHzwkY-sq5eAnXTGA,"Tax incentives: If I walk, bike, or take the T, could I get a credit for not driving (besides the public transit deduction that currently exists)?  Reward green/walking/biking Bostonians?",Sustainability-Climate
u-OsKxdfC3hp-505XtXVpzs,q-l87OL9DgiZ-dmMvWrQOrH,How can the city better support developers who are coming up against concerns about parking?,Governance and Decision-Making
u-erc7t1cTBK-dSm1ZrX9zn,q-uKcrk4XLMT-0oesALYyMi,How can we improve transit to and from the Seaport District?,Access
u-Qjt7ir1A9t-OsFPupifhj,q-53C8qlSzmd-Sh65byoEam,Will the MBTA make smart investments to improve bus service? Why not go after small(er) improvements like dedicated bus lanes and signal priority instead of boondoggles like SouthCoast Rail? $2 billion goes a LONG way on a bus...,Governance and Decision-Making
u-bE7YiPDH5P-el7P51aHGZ,q-GzYWOS1Ble-8zM4EpHyJb,Can we ensure safety for students that use the Forest Hills stop in lieu of the bridge?,Safety
u-bU7PAU3BNl-iz7luDXc3j,q-TVHPSelRrE-3CIC0LJOX6,How will the city make it easier for the poor to get around?,Equity
u-EggeCJd9TK-vkNiIXXnAk,q-GJdWhQujdZ-dw2zD0bxKy,Can we eat on buses in the future?,Experiential Quality
u-4pbzrQBgIq-EjvXapPXcV,q-v5NKBpS5kt-8NCGIHll6z,Will the city put in place rules and regulations for bike riders?,Governance and Decision-Making
u-bQRlLf2Uho-yoN0WseYea,q-gaqShIVuX6-8gVwka3nru,What if buses didn't have to sit in traffic?,Reliability
u-UiHPdPzeeT-06NvP5Dsy2,q-B4SJsNLfPI-1XvDLgk96D,How will rising sea levels and increased flooding affect our underground subway and road systems?,Sustainability-Climate
u-7mg0A3oL3e-Mj3q0NfJfO,q-bJ5WL9kv59-XoriUcFkWp,Could there be more powerful engines?,Reliability
u-YyaTm9ILIw-SV6gim5bDF,q-00coUexehN-0PCVXsMSoZ,How will snow removal function to ensure that both car lanes and bike lanes are clear?,Experiential Quality
u-28Y3lGxK3G-XEqGXTPtRV,q-M7UZ90CN2R-xc7jON4xLz,"How can we make sure that MBTA alerts and the website are actually up to date? For instance, when there is a delay on the red line that kept me sitting at harvard station for 45 minutes, how can we make sure that that delay is actually on the MBTA twitter and website?",Reliability
u-GxSwOGknqw-jTQnw2Ypzm,q-OK7QdAt9NH-coqzCWJRyF,Can we have more parking?,Access
u-xxed0ZXqNy-fQsqdDJ6Y9,q-z2gUCjUQ20-mFSHKePbDW,How long will the making of the bus and the bus stop take?,Governance and Decision-Making
u-ekQhVQ4yYi-mx3Ad4hBx2,q-OTvfa62l04-ru7US62NjM,"How can we better fund the aging MBTA, the fabric that stitches this city together?",Governance and Decision-Making
u-g1Kb7ryTUC-3R3quF8wiv,q-Ryy0IT1afy-xHzSoys50S,When can we expect to have less packed trains?,Experiential Quality
u-HKL7Vx87Z9-AkjC6QD6zz,q-SoJeg941Wv-CUglhApAto,Can we use the metro system like DC?,Experiential Quality
u-5MjN9NJIbE-yf8mT2m1VA,q-SDOrVVNOp9-gttApivVr2,"How can people who live in Roxbury and Dorchester get to work in the Longwood hospital area more easily, without taking the T into town and going back on the green line, or without having the slow bus trips that occur now?",Access
u-VrlklxwUei-PBnl8ZJvLr,q-QnNGO54ibs-iiDfvAvEdW,Will Hubway bikes still be available in the winter in the future?,Experiential Quality
u-DozlCZzBKM-bdXGkQwhde,q-2ExQDUmNrY-sddJs8iAHG,Will people be able to get to where they want on time?,Access
u-Z4F5vfxpzZ-8IXMo9W8H7,q-WCOhuFj7fP-yGsLx6p4n8,"What can @GoBoston2030 and @marty_walsh do to help with the ""final mile"" problem at the ends of the transit lines?",Access
u-lPbvDCGTkX-RTKwpgOAEC,q-o8NdiLyH3s-3VurB7g2t5,"When the bridge/overpass by Forest Hills comes down, how will pedestrians access the T?",Access
u-CbQFmogdSQ-pzQbzCPjuw,q-eiJ8p13uke-Vl3hAHzNJ7,I wonder if lots of people will drive flying cars in the future?,Innovation-Technology
u-Lljy1l6QZA-to9HHCQbmb,q-DNVRCGWEfC-6rDOWdVQNK,Why don't our government officials ride the T and experience what it's like?,Experiential Quality
u-LRfbxsJ5wL-QXZVXFxz7b,q-97heqRZ7cY-idFRThfFcO,Why can't we work more with water transportation on the Charles River into Boston?,Access
u-oxKB1tnpXe-QXNVeGFWwy,q-RW55yhTD7a-ELaXZLGJ5V,"In 2030, will Boston still be known as the city that is constantly apologizing for its old subway system or will it be a city that is admired for its innovative and effective solutions to its transportation problems?",Reliability
u-ABH0LGCbG7-PSAXRqXeJ0,q-YF6XZcNlhK-0hgbH5bqPy,Would there be better security?,Safety
u-tSL0IIUwaA-iQizPawm4W,q-6C81zRONpM-kDii2kgcoz,When will we be able to go to a train station and not worry that a train will be late?,Reliability
u-Gd3u0WtOYj-whImEBCSS0,q-mEceQdLuPY-18PmR1ZgXw,RT @NotifyBoston: What if we didn't have to wait for buses? @GoBoston2030 wants to hear your questions on the future of transportation http…,Governance and Decision-Making
u-EdSNpmfp3W-D1GbCTdFyl,q-EzeSu9TGi8-Hu0wCyPOo9,How much real influence does the city have in shaping the future of transportation for Boston?,Governance and Decision-Making
u-pPHxTPoC2w-nbqys5WKIS,q-kROafFvNXx-Wa2oUOy7D6,Why doesn't the T adjust its pricing throughout the day for when it costs more to operate and/or less?  It doesn't seem right that the nighttime riders have to pay as much when the service is not as robust.,Affordability
u-1TxZdEhAnf-gla2b1wxI0,q-ClTAagSBBO-NzKEynHcdh,Why aren't there traffic signals at Dudley Station that allow buses to easily exit during rush hour?,Innovation-Technology
u-2s1Js6BOPq-gWuEFSgzRC,q-MSI3uRZ7Wt-Cz8EiB07jZ,When will we fix Alewife?  Let's extend the Red Line to Rt. 128.,Access
u-x6m9RmIa36-8zC0unly5E,q-bZ6UIzx8oi-HBOlXaw0Qp,What if there wasn't any rush hour traffic?,Access
u-RmJ1ao2Hmf-xtAEAdBrOY,q-IgOKkIKiDN-yIPLIiTfSF,Can't Boston have better street signs?  All street corners should have signs visible to even people who have old eyes with cataracts but may still be driving.  Signs should be visible at night.  Major street crossroads should have signs overhead.  There should be signs pointing the way to major institutions. There should be signs which give the street name as well as the official number.,Safety
u-1OGaIahy9J-4YQPuu7LO1,q-VKqtw3CUpV-vTBo7ejVhh,"When will the eta for trains be improved? I wait 10+ min for a ""3min"" train on the orange line. Why even have a clock countdown if it's not vaguely accurate?",Reliability
u-z4z5GZAiPc-MkHEMkAvX2,q-BcK7O8WCvV-9p9xRrQjTe,Can we have faster buses and trains? Like in NY they came every five minutes; why don't we have that?,Reliability
u-c7HmqXkgKq-uw6Ec4HzdB,q-WAlj5NwOFP-2CxmT87aAd,Will the color representation for the trains change?,Experiential Quality
u-MEimc8TscE-HtrTDXmiN4,q-I2hd5gBGSP-mRimp9zzB1,"What about a circular commuter rail line to allow for suburb to suburb travel? Usually only possible by car, and also to allow more people in suburbs to take the commuter rail in directly from their town by travelling on the circle and then transferring at an inbound station without having to drive to another towns inbound station.",Access
u-vxSgtlzQil-SiKwvQXIq4,q-5i47mhWaC3-IyM6LTU67A,Will Boston commit to a vision of zero traffic fatalities?,Safety
u-jAN3vASCNi-tYzBERZpLy,q-8zaTAkhDJ2-PiMTc6bj82,"As a commuter from Watertown to the Longwood medical area, I bike as much as possible.  The worst part of my ride by far is the portion on Longwood Avenue which is frightening.  I avoid Huntington Ave at all costs as it is substantially worse.   There are so many people who work in Longwood; what will the city do to make biking safer for Longwood commuters?",Access
u-btDMGxTCYP-tzd2cRjJG6,q-wRdvJybt2q-1G2Zsa3jYG,"Can they drop you off anywhere you got to go? (By they, I mean bus drivers)",Access
u-hms4mAy6IQ-KNMI2WjXYE,q-5cIuR8ciw4-IdfSznUBOw,"Will the residents of South Boston's City Point neighborhood ever be able to take the T to the Southie Waterfront on a Sunday?  In other words, will the #7 bus ever run on Sunday??",Access
u-B6Uc4rug46-khXR6a8dCf,q-WqwvM8siQj-OHLxpF36og,Will the public transportation systems maintain affordable fares to align with household income?,Affordability
u-wTXZx7Mlmt-Y37dKRAnHT,q-3av4w5uVYC-Kmp6a58bdU,Can we raise the gas tax (indexed to inflation or not)?!,Governance and Decision-Making
u-ftfJFBIW8d-eUcdsek25b,q-8vGJDB6aPK-f74FQN3Imz,Why did the #31 bus take so long and not stop even when I knocked?,Reliability
u-wytEfJbpdT-DEWunVG4hs,q-Irto3Y8IQl-6NBFf0VGDU,"When will we connect the ""spokes"" of transit and build the urban ring?  It takes too long to go from Longwood to Cambridge via Boston Downtown",Access
u-DAoGcP0bAl-hgYQko7zhh,q-UAshH0TJRE-vgeG6kkc8S,What would it take to have wide-spread ferry service in Boston?,Access
u-04qpbxWclu-3ru9FioKqL,q-VinxOQSFnK-OiF7AMfn8C,How can we make car accidents more avoidable?,Safety
u-2bvqDButiX-EUuAqUBzn9,q-7Eaerpsh3B-UX4jd9bHvN,Why can't we travel more efficiently from Jamaica Plain to Cambridge/Somerville on the T?,Access
u-N35MrZvl0d-2ziBBd8BUw,q-Yb71JHXgV4-2D6VdE5mbe,How can we make it safe for people to commute to work by bike?,Safety
u-WIj2QDXoqM-3wIh8Diqok,q-R5nTQ4i23P-AXcQaLejiw,Will gondolas or floating mass transit be part of the mix?,Innovation-Technology
u-6Bm1K4rCcp-0FRESNFA6B,q-PvSp5d9dS0-2XPsHPQNmQ,"Could t train stops put the signs telling you how long before the next train comes outside the station as well, so that people walking towards the station on the street know that much sooner how long they have to wait?",Reliability
u-lIaKBj7Ype-uZpAIFUIxC,q-iEhPDCNqAi-4KCMeTGeCX,How can the T fare stop increasing?,Affordability
u-iIXwtDlMnS-gW5nZYyzFn,q-mTPP8PxIaE-kaiCq20Az6,Can we have increased MBTA security?,Safety
u-WFObuajW6g-cSaaE5LIjr,q-p9YAUuEjul-SmNd6HxPoY,"When and where will the roads/travel systems expand to be more extensive and efficient as in most major metro cities, i.e. LA, Miami, NYC?",Access
u-qQDbjNnK6B-QAylyTNZo0,q-oLFDsFWfen-9Kly5MHE81,Will buses run on time in the future?,Reliability
u-S6egFjR1Le-rxjFPGaCLE,q-35pvPE0OJt-5wlY2mflcF,"Why can't we install solar powered commuting pods as they are planning in Secaucus, New Jersey?",Innovation-Technology
u-wYiYSyPYIc-tRi3qMvlIg,q-V2A4m13Ptj-rN5rcBbGIu,@GoBoston2030 Bring back the SNOWTRAIN http://t.co/EROaFzQSxF,Experiential Quality
u-z2LZBnBprS-Yydfm8BPDQ,q-i49iQPqzRo-WnR1HVAEZ9,Why doesn't Boston have a better public transportation system?  The subways are always overcrowded to the point where I frequently have to wait 2-3 trains (that's often an extra 10-15 minutes after I've waited for the first train) to have enough room to squeeze into a car.  Forget about getting a subway on a day that it rains or snows or is especially cold.  I walk from my job to North Station instead on the days I'd most like to use it.  Why aren't empty subways put into the system directly at South Station or North Station to carry the large volume of commuters into town on the Orange and Green Lines?,Reliability
u-FcLWGZOb7D-8DdztYs5D6,q-n47yXcgVGb-6sl4l6fnGW,Continue better service?,Reliability
u-y2yqiSsYsh-UdbnkLi3eF,q-yfBloQVONN-QZBY6BNJJB,"How can we continue and expand efforts to make the city more appealing and accessible for bicycles, pedestrians, and buses (particularly BRT)?",Access
u-uKgt3n53FP-bEEyEQyRLh,q-BUu1NV6tJd-Id5JBAFZaz,When will there be a bike lane on West Broadway?,Access
u-FTtMu7d3XV-K7P85j6PGK,q-YCIpdbfRF5-fBORDoagqL,How is the development of the commuter rail line going to affect our community?,Access
u-M5VSBRxC7h-4FetPiqtKR,q-IIQKul4b7W-WXjoDrCmfs,Will there be more public transportation options to get people out from the water front?,Access
u-iQ0fAQEMlc-DYaJMijJ7D,q-pPN5EAYjnw-9TpENFI9Cu,"What if our transportation systems and roadways celebrated art and creativity, not just advertising and sales?",Governance and Decision-Making
u-RHs04tMTf8-98b4eVHKm4,q-qWFqfvh6Xk-OnG7HJJKSj,"Will getting around Boston be affordable for the elderly and handicapped, as well as for students?",Affordability
u-g2w7BeqD3n-35pJ3GMoG2,q-JarF2iyOSs-cKymB1aXVu,Will Government Center Station be open again anytime soon?,Access
u-yTTVDEg7KG-Fia83k4IEk,q-X0ITZDf846-4fuxKohASo,Why are there so many street-parked cars that almost never move (i.e. covered in snow for weeks)?,Miscellaneous
u-5ZSoxJ19w1-CDOfY3e24P,q-77GmtY6GmD-Qnhq1t0z1x,Are the MBTA changing the bus since the current ones are always packed?,Experiential Quality
u-D1rDMRJZ4J-N3pEa0Gxze,q-qpWmCUit4u-frHVDcTfvz,"Should bikes have an extended green signal (in the later half of the crosswalk period) so they can avoid traveling alongside cars, make lights down the road that are timed for cars, and be given another incentive as a mode of transportation?",Access
u-r7bEHMc6wo-KTixTi3ydO,q-FeDD0n0a40-kOR8VpIi4U,When can we get rid of the high-pitched scratching noise of wheels on the track for the T (it is especially bad for the Red Line going from Central to Harvard and Green Line going from Arlington to Boylston)?,Experiential Quality
u-60z2Uqb9xs-W2aAwgioBV,q-sucxB8LXKp-0nmlMZIOFe,Why are the same roads being fixed and not others?,Equity
u-xGg3COyL3G-bdebx7gxf9,q-XLBoLDV6LU-FmiNNIKxDb,Will the city charge out of state college students a tax or fee to help fund innovative transportation infrastructures?,Governance and Decision-Making
u-ZPw3qedMj7-QBr1szBmjU,q-wf2Sw0nFJM-2KkWrJDSsD,"How will our transit system function more reliably in snowstorms and be more resistant to future weather conditions?  (E.g. sea level rise, more intense and frequent storms, more high heat events.)",Resiliency
u-mkNheH9VOc-A15J2Cx7gV,q-yG68FtLzsq-9R4K4sAdHK,How can we help each other get to the same place?,Access
u-AtRvjO6yH3-AFAVw1mKLO,q-sqTIedgoq5-kILNLddP0k,Will the buses expand?,Access
u-BGeHr6PrU1-s2lapX5WMY,q-aYFmrJtVR4-7I6IdVMkr2,Why don't we bring Boston smarts to innovating pubic transportation?,Innovation-Technology
u-xGg3COyL3G-bdebx7gxf9,q-ghGgn863Hm-ylPJW6qPXP,"Is there any way to combine a sort of Uber/Shuttle bus service, picking up a select group of people who are in a work queue, and driving them to similar, clustered destinations? Say a a person is trying to get to work at nine, he enters the shuttle queue at 745, the shuttles are driving around picking up other people going to similar locations, and when his number gets called, he gets scooped and then the shuttle, when full, drives everyone to where they are going. Shuttles each have estimated route times, and deadlines for when they get on their route. Queues could start to be formed into travel groups, bringing people who ordinarily would never travel together, together. Think about it mayne.",Access
u-Vn92Ne8DLa-DD25c24AVY,q-k8gVrVPyWw-s7cAOAgfAC,"As a Mattapan homeowner, I would like better Mattapan services. Trolley should run more often along River street, Rt. 27 bus.",Access
u-5rjAqTSGwU-ecL8DtXYZ8,q-guA8jxy0v6-FHDcUgs69I,Will Boston ever have 24 hour public transportation or late night service throughout the week?,Reliability
u-8dZVyPRq0P-bsRP5qshgx,q-j7PWpbWDCF-LgbyLQptvi,When is the Union Square Somerville train stop going to be open?,Access
u-WENgIVjNe0-LGfClyWh4Y,q-pA8UiRefQH-clTaBnhHxQ,Are we going to build a north-south rail link and a Red-Blue connector?,Access
u-xGg3COyL3G-bdebx7gxf9,q-MWLzMa3sjc-KSnU81Amii,We need more cops to help out in the streets what will you do in order to keep our community safe?,Safety
u-cLTPo7Sae3-unzQD9IxGR,q-LGtGB8H11W-sBjzgthJpV,Why don't we plant grass on the street car lines to clean the air and reduce noise the way other cities do?,Sustainability-Climate
u-zdVzwLe7RI-S2gX1wOJbQ,q-QwoR4JqOVZ-d11BErytV0,Better transportation system,Experiential Quality
u-VaXV7lP8ei-xSjtLbafap,q-bJPkqOomHC-86Iltl98Vt,Will there be rapid transit buses in Boston if there are Olympics because it will be very crowded and hard to get around? What year will rapid transit buses come to Boston?,Access
u-XtOjpEb1cp-fdORHMTYQD,q-2L9zMRYRbC-orXbmCBtrI,How about FREE public transportation??,Affordability
u-PxM3KxOEPi-0wKuY6YPGO,q-ix4ciaolFA-FM17KvTJkt,"I'm happy with Boston transportation for my needs, but I think the late night service should be continued for those who need it.  ",Reliability
u-s7oZDA7mLS-mcy1l68Bad,q-TMimH3N9jT-pBIBbv1ILu,How will our transportation be optimized for reliability in weather conditions?,Reliability
u-YruYQOKFGu-Q4LDLtUNk8,q-fNzVnPPBNB-7NX9kP18bJ,"How can cars, trucks, buses, bikes, and pedestrians share space on the narrow streets of Boston?",Access
u-vaXPbRQxHT-Fr6Dkg1Jh1,q-Gyn6WWxf6R-86CQ3dZSjR,What is being done about next winter and avoiding what happened this winter with all the snow?,Resiliency
u-t7TPEDVpAX-W4xHCHhc52,q-UK4DPzbdVv-KeiyuJk3Gi,Will there be a subway line in the eastern part of South Boston?,Access
u-3PLdYJQJnO-zfUAAI2rVp,q-R82QjJaSgx-Y9SuBFgwAr,How can we stop the MBTA fares from increasing?,Affordability
u-eeztJ85h6h-thurBG5B7h,q-IVXAdw2lA4-2uAicYuZpB,"Not really a question but a suggestion.  There should be some sort of water transportation up and down the Charles River. I.e., from the Marina near Maverick Square in East Boston, past Charlestown, up the Charles River past MIT and BU, up to Watertown.  I work in Harvard Square and live in East Boston and there are a lot of people who make this commute on the MBTA trains; we are blessed to have a navigable river flowing through the middle of our city so we should make the most of it. ",Access
u-MSb5dmURgD-8KVBZTOS11,q-6aoQ3G8TOB-mNCR24wfcq,How many green vehicles will there be?,Sustainability-Climate
u-GleHNmJ40A-Be1K3qV8mY,q-ubmqU0sPPC-IfDsBBeYQu,What is the MBTA's plan for any future blizzard?,Resiliency
u-X82jTzBQZA-fWZzLvNCyf,q-teAgOmy9El-F7X9fNn26C,Will there be a train house?,Innovation-Technology
